File: MNCLW00318.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.062165s
Found terms: 3294

Term                            Line                  Word Place          

хүү                             5, 124, 203, 213      2, 30, 7, 3         
                                247, 247, 249, 251    13, 30, 37, 30      
                                254, 260, 261, 262    26, 16, 17, 12      
                                265, 268, 273, 278    39, 13, 34, 32      
                                294, 295, 304, 319    9, 6, 37, 12        
                                331, 395, 490, 504    15, 6, 10, 3        
                                519, 535, 544, 545    11, 11, 17, 36      
                                620, 695, 696, 725    2, 5, 9, 23         
                                740, 751, 754, 754    20, 41, 13, 14      
                                757, 757, 783, 784    2, 3, 19, 25        
                                793, 874, 874         15, 10, 23          
журм                            13, 143, 156, 167     14, 10, 4, 12       
                                170, 182, 198, 216    11, 8, 19, 8        
                                232, 236, 258, 311    12, 8, 15, 21       
                                360, 404, 424, 528    12, 10, 35, 8       
                                551, 592, 679, 682    10, 6, 22, 10       
                                702, 738, 742, 758    17, 8, 12, 3        
                                772, 808, 815, 817    14, 14, 8, 19       
                                839, 872, 878, 938    6, 22, 4, 20        
                                938                   26                  
этгээд                          15, 32, 145, 150      15, 5, 7, 14        
                                234, 234, 246, 258    6, 34, 27, 10       
                                406, 407, 413, 556    24, 5, 5, 26        
                                557, 557, 561, 573    2, 8, 7, 17         
                                579, 621, 631, 639    14, 2, 2, 4         
                                639, 731, 763, 797    11, 10, 16, 14      
                                812, 933, 933, 940    7, 8, 9, 4          
                                941, 941, 941         5, 19, 32           
тодорхойлолт                    16, 366, 369, 373     6, 12, 15, 14       
                                713, 723, 724, 725    24, 24, 12, 18      
санал                           18, 23, 28, 38        14, 8, 13, 25       
                                38, 39, 40, 40        30, 17, 9, 13       
                                42, 42, 42, 42        3, 12, 17, 24       
                                43, 43, 44, 44        2, 16, 2, 11        
                                48, 53, 54, 54        44, 11, 2, 11       
                                58, 63, 67, 68        12, 13, 17, 3       
                                69, 69, 69, 69        5, 10, 20, 28       
                                69, 69, 70, 73        35, 47, 3, 18       
                                75, 75, 75, 76        8, 12, 46, 3        
                                76, 81, 83, 83        7, 24, 17, 21       
                                83, 84, 85, 94        37, 10, 10, 5       
                                106, 106, 106, 109    9, 15, 17, 12       
                                120, 122, 124, 127    2, 2, 11, 28        
                                132, 137, 149, 149    10, 22, 24, 34      
                                150, 150, 154, 161    4, 15, 5, 4         
                                175, 180, 185, 186    5, 5, 7, 12         
                                186, 186, 187, 189    18, 33, 7, 11       
                                190, 192, 196, 196    13, 5, 5, 11        
                                200, 203, 203, 205    12, 4, 11, 4        
                                205, 205, 205, 206    6, 9, 16, 7         
                                206, 206, 206, 211    9, 15, 17, 5        
                                213, 214, 214, 214    7, 6, 11, 24        
                                214, 220, 222, 225    31, 3, 15, 21       
                                228, 260, 261, 265    3, 19, 20, 25       
                                266, 274, 275, 278    35, 37, 7, 45       
                                286, 299, 300, 302    6, 10, 3, 40        
                                304, 304, 307, 310    2, 18, 8, 22        
                                315, 317, 319, 320    5, 21, 45, 38       
                                327, 328, 328, 329    10, 11, 37, 20      
                                330, 333, 338, 352    2, 4, 5, 13         
                                352, 383, 385, 386    16, 14, 8, 17       
                                396, 399, 437, 438    6, 3, 12, 19        
                                439, 441, 441, 465    14, 9, 16, 12       
                                476, 476, 480, 496    41, 50, 28, 5       
                                508, 509, 513, 513    15, 16, 26, 35      
                                514, 517, 528, 532    26, 9, 13, 27       
                                547, 551, 553, 554    16, 19, 28, 33      
                                554, 556, 556, 556    42, 6, 21, 28       
                                558, 564, 577, 578    13, 17, 8, 12       
                                583, 603, 648, 655    16, 10, 4, 17       
                                668, 669, 670, 673    4, 6, 2, 4          
                                676, 677, 677, 677    15, 4, 6, 13        
                                679, 679, 679, 679    4, 8, 12, 16        
                                680, 681, 682, 684    5, 3, 4, 2          
                                684, 684, 685, 685    5, 14, 15, 20       
                                687, 688, 688, 688    2, 3, 5, 8          
                                689, 692, 692, 692    5, 4, 7, 10         
                                692, 693, 693, 693    18, 5, 19, 24       
                                693, 695, 696, 696    34, 7, 4, 14        
                                698, 698, 698, 699    6, 12, 14, 12       
                                699, 700, 701, 701    18, 23, 8, 18       
                                703, 704, 704, 704    7, 5, 10, 27        
                                705, 705, 706, 706    4, 9, 2, 6          
                                706, 706, 707, 707    11, 13, 5, 13       
                                708, 708, 709, 709    5, 10, 5, 17        
                                710, 711, 712, 712    4, 4, 5, 7          
                                713, 713, 713, 714    12, 15, 26, 5       
                                719, 719, 719, 719    7, 9, 21, 23        
                                719, 723, 723, 723    27, 9, 11, 26       
                                724, 725, 725, 727    13, 11, 13, 3       
                                727, 727, 727, 728    5, 15, 17, 3        
                                728, 728, 729, 729    5, 8, 3, 5          
