File: MNCLW00800.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.008715s
Found terms: 1045

Term                            Line                  Word Place          

шүүгч                           8, 165, 165, 165      1, 1804, 1813, 1833 
                                165, 165, 165, 165    1858, 1878, 1901, 1919
                                165, 165, 517, 519    1940, 1961, 3, 8    
                                524, 528, 532, 536    8, 8, 8, 8          
                                540, 544, 548         8, 8, 8             
шүүх                            8, 165, 165, 165      1, 1804, 1813, 1833 
                                165, 165, 165, 165    1858, 1878, 1901, 1919
                                165, 165, 517, 519    1940, 1961, 3, 8    
                                524, 528, 532, 536    8, 8, 8, 8          
                                540, 544, 548         8, 8, 8             
давж заалдах шатны шүүх         11, 11, 11, 11        12, 34, 54, 74      
                                11, 11, 11, 11        94, 114, 134, 153   
                                11, 11, 11, 11        172, 192, 212, 232  
                                11, 11, 11, 11        252, 271, 290, 310  
                                11, 11, 11, 11        330, 350, 370, 390  
                                11, 11, 11, 11        410, 430, 450, 470  
                                11, 11, 11, 11        488, 505, 520, 580  
                                11, 11, 11, 11        604, 627, 652, 676  
                                11, 11, 11, 11        699, 724, 747, 767  
                                11, 11, 16, 20        782, 789, 4, 6      
                                24, 28, 32, 36        6, 6, 6, 6          
                                40, 44, 48, 52        6, 5, 5, 6          
                                56, 60, 64, 68        6, 6, 6, 5          
                                72, 76, 80, 84        5, 6, 6, 6          
                                88, 92, 96, 100       6, 6, 6, 6          
                                104, 108, 112, 116    6, 6, 4, 4          
                                119, 124, 128, 132    3, 7, 6, 7          
                                136, 140, 144, 148    7, 6, 7, 7          
                                152, 156, 159, 161    5, 4, 3, 3          
газар                           11, 13, 165, 167      4, 2, 4, 2          
иргэн                           11, 11, 11, 11        10, 32, 52, 72      
                                11, 11, 11, 11        92, 112, 132, 170   
                                11, 11, 11, 11        190, 210, 230, 250  
                                11, 11, 11, 11        288, 308, 328, 348  
                                11, 11, 11, 11        368, 388, 408, 428  
                                11, 11, 11, 16        448, 468, 503, 2    
                                20, 24, 28, 32        4, 4, 4, 4          
                                36, 40, 48, 52        4, 4, 3, 4          
                                56, 60, 64, 72        4, 4, 4, 3          
                                76, 80, 84, 88        4, 4, 4, 4          
                                92, 96, 100, 104      4, 4, 4, 4          
                                108, 116, 165, 165    4, 2, 10, 35        
                                165, 165, 165, 165    83, 96, 109, 122    
                                165, 165, 165, 165    135, 148, 161, 174  
                                165, 165, 165, 165    187, 808, 819, 840  
                                165, 165, 165, 165    861, 882, 903, 924  
                                165, 165, 165, 165    945, 966, 992, 1013 
                                165, 165, 165, 165    1034, 1065, 1086, 1113
                                165, 165, 165, 165    1142, 1163, 1189, 1210
                                165, 165, 165, 170    1231, 1259, 1280, 2 
                                172, 176, 180, 184    9, 3, 3, 3          
                                188, 192, 196, 200    3, 3, 3, 3          
                                204, 208, 343, 345    3, 3, 3, 6          
                                349, 353, 357, 361    6, 6, 6, 6          
                                365, 369, 373, 377    6, 6, 6, 6          
                                381, 385, 389, 393    6, 6, 6, 6          
                                397, 401, 406, 412    6, 6, 2, 6          
                                416, 420, 424, 428    6, 6, 6, 6          
захиргаа                        11, 11, 11, 11        43, 63, 83, 103     
                                11, 11, 11, 11        123, 143, 162, 181  
                                11, 11, 11, 11        201, 221, 241, 261  
                                11, 11, 11, 11        280, 299, 319, 339  
                                11, 11, 11, 11        359, 379, 399, 419  
                                11, 11, 11, 11        439, 459, 479, 496  
                                11, 11, 11, 11        513, 593, 615, 640  
                                11, 11, 11, 11        665, 687, 712, 737  
                                11, 11, 11, 11        758, 775, 787, 798  
                                22, 26, 30, 34        4, 4, 4, 4          
                                38, 42, 46, 50        4, 4, 4, 4          
                                54, 58, 62, 66        4, 4, 4, 4          
                                70, 74, 78, 82        4, 4, 4, 4          
                                86, 90, 94, 98        4, 4, 4, 4          
                                102, 106, 110, 114    4, 4, 4, 3          
                                118, 126, 130, 134    3, 6, 5, 6          
                                138, 142, 146, 150    6, 5, 6, 6          
                                154, 158, 161, 163    5, 3, 1, 4          
                                165, 165, 165, 165    394, 404, 413, 423  
                                165, 165, 165, 165    432, 442, 451, 461  
                                165, 165, 165, 165    470, 480, 489, 499  
                                165, 165, 165, 165    508, 518, 527, 537  
                                165, 165, 165, 165    546, 556, 565, 575  
                                165, 165, 165, 165    584, 594, 603, 613  
                                165, 165, 165, 165    622, 632, 641, 651  
                                165, 165, 165, 165    660, 670, 679, 689  
                                165, 165, 165, 165    698, 708, 717, 727  
                                165, 165, 165, 165    736, 746, 755, 765  
                                165, 165, 165, 165    774, 784, 792, 801  
                                165, 165, 165, 165    829, 850, 871, 892  
                                165, 165, 165, 165    913, 934, 955, 1002 
                                165, 165, 165, 165    1023, 1075, 1152, 1199
                                165, 165, 165, 165    1220, 1269, 1327, 1348
                                165, 165, 165, 165    1369, 1390, 1411, 1432
                                165, 165, 165, 165    1453, 1500, 1521, 1573
                                165, 165, 165, 165    1650, 1697, 1718, 1767
                                255, 257, 259, 261    4, 4, 4, 4          
                                263, 265, 267, 269    4, 4, 4, 4          
                                271, 273, 275, 277    4, 4, 4, 4          
                                279, 281, 283, 285    4, 4, 4, 4          
                                288, 290, 292, 294    1, 4, 4, 4          
                                296, 298, 300, 302    4, 4, 4, 4          
                                304, 306, 308, 310    4, 4, 4, 4          
                                312, 314, 316, 318    4, 4, 4, 4          
                                320, 322, 324, 326    4, 4, 4, 4          
                                328, 330, 332, 334    4, 4, 4, 4          
                                336, 338, 340, 342    4, 4, 3, 3          
                                347, 351, 355, 359    4, 4, 4, 4          
                                363, 367, 371, 379    4, 4, 4, 4          
                                383, 391, 403, 414    4, 4, 4, 4          
                                418, 426, 435, 439    4, 4, 4, 4          
                                443, 447, 451, 455    4, 4, 4, 4          
                                459, 468, 472, 480    4, 4, 4, 4          
                                492, 500, 504, 512    4, 4, 4, 4          
нэгж                            11, 11, 11, 11        47, 67, 87, 107     
                                11, 11, 11, 11        127, 147, 166, 185  
                                11, 11, 11, 11        205, 225, 245, 265  
                                11, 11, 11, 11        284, 303, 323, 343  
                                11, 11, 11, 11        363, 383, 403, 423  
                                11, 11, 11, 11        443, 463, 483, 500  
                                11, 11, 11, 11        517, 597, 619, 644  
                                11, 11, 11, 11        669, 691, 716, 741  
                                11, 11, 11, 22        762, 779, 802, 8    
                                26, 30, 34, 38        8, 8, 8, 8          
                                42, 46, 50, 54        8, 8, 8, 8          
                                58, 62, 66, 70        8, 8, 8, 8          
                                74, 78, 82, 86        8, 8, 8, 8          
                                90, 94, 98, 102       8, 8, 8, 8          
                                106, 110, 114, 118    8, 8, 7, 7          
                                126, 130, 134, 138    10, 9, 10, 10       
                                142, 146, 150, 154    9, 10, 10, 9        
                                158, 163, 165, 165    7, 8, 408, 427      
                                165, 165, 165, 165    446, 465, 484, 503  
                                165, 165, 165, 165    522, 541, 560, 579  
                                165, 165, 165, 165    598, 617, 636, 655  
                                165, 165, 165, 165    674, 693, 712, 731  
                                165, 165, 165, 165    750, 769, 788, 805  
                                165, 165, 165, 165    833, 854, 875, 896  
                                165, 165, 165, 165    917, 938, 959, 1006 
                                165, 165, 165, 165    1027, 1079, 1156, 1203
                                165, 165, 165, 165    1224, 1273, 1331, 1352
                                165, 165, 165, 165    1373, 1394, 1415, 1436
                                165, 165, 165, 165    1457, 1504, 1525, 1577
                                165, 165, 165, 165    1654, 1701, 1722, 1771
                                257, 261, 265, 269    8, 8, 8, 8          
                                273, 277, 281, 285    8, 8, 8, 8          
                                290, 294, 298, 302    8, 8, 8, 8          
                                306, 310, 314, 318    8, 8, 8, 8          
