File: MNCLW00330.txt
Search Method: Trie (MWE + Single-Word)
Total runtime: 0.045871s
Found terms: 1977

Term                            Line                  Word Place          

хүү                             5, 48, 132, 133       2, 5, 3, 5          
                                168, 169, 188, 189    2, 3, 2, 3          
                                240, 251, 519, 555    10, 5, 8, 5         
                                556, 729, 730, 732    15, 10, 10, 13      
                                736, 737, 740         3, 4, 12            
захиргаа                        6, 15, 15, 16         4, 6, 21, 5         
                                17, 18, 19, 20        6, 6, 4, 2          
                                33, 54, 55, 64        4, 4, 2, 4          
                                67, 72, 76, 79        2, 9, 4, 2          
                                80, 82, 82, 83        2, 2, 20, 2         
                                83, 93, 94, 96        20, 2, 4, 2         
                                97, 105, 108, 113     2, 8, 2, 2          
                                114, 269, 271, 273    2, 17, 5, 2         
                                340, 340, 347, 369    6, 14, 7, 6         
                                369, 408, 409, 410    14, 12, 36, 36      
                                487, 533, 534, 624    8, 2, 2, 5          
                                711, 720, 729, 730    15, 2, 2, 2         
                                731, 732, 733, 734    6, 16, 5, 7         
                                735, 758, 760, 763    7, 19, 16, 5        
                                763, 765, 781, 782    13, 4, 4, 2         
                                783, 783, 786, 787    2, 30, 14, 19       
                                788, 789              2, 4                
нэгж                            6, 15, 15, 15         7, 9, 15, 24        
                                16, 17, 18, 19        8, 9, 9, 7          
                                24, 30, 38, 40        4, 17, 27, 29       
                                42, 46, 47, 50        16, 43, 43, 30      
                                52, 61, 64, 67        19, 6, 7, 5         
                                67, 72, 76, 76        10, 12, 5, 8        
                                79, 80, 82, 82        5, 5, 5, 23         
                                83, 83, 88, 93        5, 23, 7, 5         
                                93, 94, 96, 97        12, 7, 5, 5         
                                108, 108, 108, 121    5, 15, 22, 6        
                                124, 271, 271, 272    9, 8, 19, 13        
                                347, 368, 464, 478    10, 5, 21, 7        
                                619, 624, 681, 731    10, 8, 10, 9        
                                732, 733, 735, 736    19, 8, 10, 6        
                                737, 765, 766, 781    7, 7, 7, 7          
                                782, 783, 786, 786    5, 5, 17, 24        
                                787, 788, 800         22, 5, 2            
удирдлага                       6, 15, 15, 17         9, 29, 49, 4        
                                17, 18, 19, 24        11, 11, 9, 2        
                                24, 25, 26, 50        11, 3, 4, 28        
                                58, 58, 60, 61        3, 5, 3, 3          
                                85, 92, 108, 124      6, 18, 20, 2        
                                129, 192, 227, 238    4, 6, 6, 5          
                                268, 306, 311, 315    4, 5, 3, 5          
                                321, 321, 347, 504    18, 25, 27, 13      
                                604, 620, 731, 732    5, 5, 11, 21        
                                756, 792, 795, 796    8, 4, 4, 3          
                                796, 796, 796         18, 25, 36          
удирдлаг                        6, 15, 15, 17         9, 29, 49, 4        
                                17, 18, 19, 24        11, 11, 9, 2        
                                24, 25, 26, 50        11, 3, 4, 28        
                                58, 58, 60, 61        3, 5, 3, 3          
                                85, 92, 108, 124      6, 18, 20, 2        
                                129, 192, 227, 238    4, 6, 6, 5          
                                268, 306, 311, 315    4, 5, 3, 5          
                                321, 321, 347, 504    18, 25, 27, 13      
                                604, 620, 731, 732    5, 5, 11, 21        
                                756, 792, 795, 796    8, 4, 4, 3          
                                796, 796, 796         18, 25, 36          
байгууллаг                      13, 15, 15, 26        24, 37, 51, 21      
                                27, 28, 43, 46        4, 4, 7, 5          
                                47, 59, 154, 209      5, 4, 4, 16         
                                210, 264, 265, 305    4, 16, 4, 18        
                                307, 308, 310, 321    25, 22, 3, 26       
                                418, 421, 457, 510    3, 17, 5, 5         
                                578, 599, 600, 602    7, 14, 14, 16       
                                603, 605, 605, 606    19, 14, 17, 46      
                                623, 625, 641, 643    46, 7, 24, 22       
                                648, 650, 668, 683    12, 7, 14, 14       
                                718, 719, 743, 744    10, 6, 4, 4         
                                758, 760, 763, 774    21, 18, 15, 9       
                                775, 775, 776, 783    7, 15, 14, 32       
                                784, 785, 790, 796    6, 6, 22, 4         
                                796, 796, 797, 798    37, 53, 6, 6        
                                803, 806, 807         4, 4, 4             
байгууллага                     13, 15, 15, 26        24, 37, 51, 21      
                                27, 28, 43, 46        4, 4, 7, 5          
                                47, 59, 154, 209      5, 4, 4, 16         
                                210, 264, 265, 305    4, 16, 4, 18        
                                307, 308, 310, 321    25, 22, 3, 26       
                                418, 421, 457, 510    3, 17, 5, 5         
                                578, 599, 600, 602    7, 14, 14, 16       
                                603, 605, 605, 606    19, 14, 17, 46      
                                623, 625, 641, 643    46, 7, 24, 22       
                                648, 650, 668, 683    12, 7, 14, 14       
                                718, 719, 743, 744    10, 6, 4, 4         
                                758, 760, 763, 774    21, 18, 15, 9       
                                775, 775, 776, 783    7, 15, 14, 32       
                                784, 785, 790, 796    6, 6, 22, 4         
                                796, 796, 797, 798    37, 53, 6, 6        
                                803, 806, 807         4, 4, 4             
нутгийн өөрийн удирдлага        15, 24, 29, 30        34, 6, 9, 13        
                                42, 52, 302, 303      3, 8, 1, 1          
                                307, 308, 801, 802    27, 19, 3, 3        
нутгийн өөрийн удирдлаг         15, 24, 29, 30        34, 6, 9, 13        
                                42, 52, 302, 303      3, 8, 1, 1          
                                307, 308, 801, 802    27, 19, 3, 3        
үйл ажиллагаа                   15, 25, 26, 38        31, 20, 24, 18      
                                46, 46, 46, 47        7, 25, 33, 7        
                                47, 47, 55, 100       25, 33, 19, 23      
                                101, 103, 196, 198    23, 13, 3, 3        
                                257, 289, 289, 293    3, 15, 19, 7        
