law_id	terms_unique	degree	weighted_degree	betweenness	closeness	pagerank	component_id	component_size
MNCLW00758	426	572	10695.0000	0.000556	0.743994	0.002584	0	810
MNCLW00759	52	446	2848.0000	0.000171	0.664008	0.000836	0	810
MNCLW00760	3	200	217.0000	0.000019	0.548814	0.000237	0	810
MNCLW00761	1	0	0.0000	0.000000	0.000000	0.000184	26	1
MNCLW00762	162	575	8456.0000	0.000587	0.746134	0.002102	0	810
MNCLW00763	259	565	10093.0000	0.000592	0.739048	0.002447	0	810
MNCLW00764	121	552	5985.0000	0.000323	0.730035	0.001541	0	810
MNCLW00765	11	277	443.0000	0.000003	0.580326	0.000280	0	810
MNCLW00766	5	348	417.0000	0.000139	0.612770	0.000358	0	810
MNCLW00767	208	671	8170.0000	0.001061	0.821771	0.002112	0	810
MNCLW00768	16	453	801.0000	0.000271	0.667998	0.000441	0	810
MNCLW00769	4	254	258.0000	0.000020	0.570123	0.000317	0	810
MNCLW00770	149	530	6637.0000	0.000302	0.715274	0.001665	0	810
MNCLW00771	3	252	261.0000	0.000020	0.569705	0.000318	0	810
MNCLW00772	8	353	674.0000	0.000058	0.615192	0.000346	0	810
MNCLW00773	2	0	0.0000	0.000000	0.000000	0.000184	27	1
MNCLW00774	1	0	0.0000	0.000000	0.000000	0.000184	28	1
MNCLW00775	858	660	17337.0000	0.001192	0.812336	0.004107	0	810
MNCLW00776	9	366	619.0000	0.000056	0.621580	0.000336	0	810
MNCLW00777	2	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00778	255	637	8443.0000	0.000956	0.793290	0.002143	0	810
MNCLW00779	3	21	22.0000	0.000000	0.486690	0.000189	0	810
MNCLW00780	67	524	4760.0000	0.000443	0.711351	0.001282	0	810
MNCLW00781	474	661	14438.0000	0.001381	0.813185	0.003512	0	810
MNCLW00782	14	272	470.0000	0.000038	0.578171	0.000297	0	810
MNCLW00783	229	568	8349.0000	0.000563	0.741160	0.002078	0	810
MNCLW00784	133	479	3579.0000	0.000186	0.683246	0.001011	0	810
MNCLW00785	24	235	477.0000	0.000054	0.562703	0.000321	0	810
MNCLW00786	78	503	3537.0000	0.000252	0.697953	0.000989	0	810
MNCLW00787	118	535	6273.0000	0.000426	0.718576	0.001615	0	810
MNCLW00788	9	243	281.0000	0.000012	0.565976	0.000253	0	810
MNCLW00789	4	262	290.0000	0.000107	0.573907	0.000351	0	810
MNCLW00790	274	653	11025.0000	0.001119	0.806443	0.002756	0	810
MNCLW00791	161	583	8755.0000	0.000496	0.751901	0.002195	0	810
MNCLW00792	241	597	10311.0000	0.000652	0.762211	0.002517	0	810
MNCLW00793	57	488	3639.0000	0.000155	0.688688	0.001005	0	810
MNCLW00794	2	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00795	172	601	8085.0000	0.000633	0.765209	0.002032	0	810
MNCLW00796	6	200	360.0000	0.000093	0.548427	0.000298	0	810
MNCLW00797	5	173	331.0000	0.000000	0.538186	0.000265	0	810
MNCLW00798	3	173	331.0000	0.000000	0.538186	0.000265	0	810
MNCLW00799	3	173	331.0000	0.000000	0.538186	0.000265	0	810
MNCLW00800	145	425	1443.0000	0.000095	0.652320	0.000525	0	810
MNCLW00801	3	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00802	3	234	234.0000	0.000000	0.561890	0.000311	0	810
MNCLW00803	15	509	1281.0000	0.000441	0.701729	0.000551	0	810
MNCLW00804	1	0	0.0000	0.000000	0.000000	0.000184	29	1
MNCLW00805	19	379	665.0000	0.000085	0.628101	0.000351	0	810
MNCLW00806	3	118	118.0000	0.000000	0.518466	0.000210	0	810
MNCLW00807	2317	692	22620.0000	0.002377	0.840408	0.005382	0	810
MNCLW00808	3	250	253.0000	0.000016	0.568457	0.000315	0	810
MNCLW00809	695	738	19065.0000	0.002474	0.884338	0.004619	0	810
MNCLW00810	215	562	8740.0000	0.000494	0.736948	0.002151	0	810
MNCLW00811	67	606	2354.0000	0.000859	0.768990	0.000809	0	810
MNCLW00812	285	593	9780.0000	0.000816	0.759237	0.002415	0	810
MNCLW00813	5	226	289.0000	0.000009	0.559064	0.000253	0	810
MNCLW00814	296	618	12410.0000	0.000664	0.778218	0.002993	0	810
MNCLW00815	11	286	590.0000	0.000013	0.584247	0.000322	0	810
MNCLW00816	364	604	10653.0000	0.000688	0.767473	0.002603	0	810
MNCLW00817	87	492	3457.0000	0.000217	0.691135	0.000975	0	810
MNCLW00818	3	240	243.0000	0.000004	0.564335	0.000313	0	810
MNCLW00819	83	605	4028.0000	0.000748	0.768231	0.001170	0	810
MNCLW00820	5	348	417.0000	0.000139	0.612770	0.000358	0	810
MNCLW00821	1	0	0.0000	0.000000	0.000000	0.000184	30	1
MNCLW00822	12	322	772.0000	0.000033	0.600477	0.000367	0	810
MNCLW00823	8	323	635.0000	0.000027	0.600477	0.000336	0	810
MNCLW00824	1143	724	17524.0000	0.002672	0.870489	0.004299	0	810
MNCLW00825	1393	716	19284.0000	0.002875	0.862769	0.004691	0	810
MNCLW00826	2009	645	16916.0000	0.001314	0.799813	0.004015	0	810
MNCLW00827	237	623	10716.0000	0.001049	0.782128	0.002658	0	810
