Unnamed: 0	id	leg_term	desc	pos_tag	term_root	file_containing	line	word_place
927	5530024	хувилбарт сургалт	"үндсэн сургалтад хамрагдаж чадахгүй байгаа хүүхдэд сургуулийн өмнөх боловсрол эзэмшүүлэх ""ээлжийн бүлгийн"", ""явуулын багшийн"", ""нүүдлийн бүлгийн"" сургалтын үйл ажиллагааг"	NM	сургалт	MNCLW00304, MNCLW00553	MNCLW00304: 695, 695, 695, 695 | MNCLW00553: 	MNCLW00304: 2749, 2756, 6986, 6993 | MNCLW00553: 
928	5470032	шашны байгууллага	төр, сүм хийдийн харилцааны тухай хуулийн 6 дугаар зүйлд зааснаар шашны зан үйл, хурал ном, боловсролын ажлыг эрхлэн гүйцэтгэж байгаа албан ёсны зөвшөөрөл бүхий хийд, сүм, дацан, төв болон тэдгээрийн удирдах байгууллагыг	NM	байгууллага	MNCLW00002, MNCLW00021, MNCLW00035, MNCLW00188, MNCLW00234, MNCLW00242, MNCLW00318, MNCLW00341, MNCLW00511, MNCLW00539, MNCLW00547, MNCLW00589, MNCLW00594, MNCLW00608, MNCLW00631, MNCLW00639, MNCLW00641, MNCLW00687, MNCLW00825	MNCLW00002:  | MNCLW00021:  | MNCLW00035:  | MNCLW00188:  | MNCLW00234:  | MNCLW00242:  | MNCLW00318:  | MNCLW00341:  | MNCLW00511:  | MNCLW00539:  | MNCLW00547:  | MNCLW00589:  | MNCLW00594:  | MNCLW00608:  | MNCLW00631:  | MNCLW00639:  | MNCLW00641:  | MNCLW00687:  | MNCLW00825: 	MNCLW00002:  | MNCLW00021:  | MNCLW00035:  | MNCLW00188:  | MNCLW00234:  | MNCLW00242:  | MNCLW00318:  | MNCLW00341:  | MNCLW00511:  | MNCLW00539:  | MNCLW00547:  | MNCLW00589:  | MNCLW00594:  | MNCLW00608:  | MNCLW00631:  | MNCLW00639:  | MNCLW00641:  | MNCLW00687:  | MNCLW00825: 
929	2650025	мэдээллийн сүлжээ	нийтийн мэдээллийн ил тод байдлын тухай хуулийн 412-т заасныг	NM	сүлжээ	MNCLW00138, MNCLW00265, MNCLW00266, MNCLW00383, MNCLW00384, MNCLW00437, MNCLW00559, MNCLW00670, MNCLW00690, MNCLW00775, MNCLW00807, MNCLW00809	MNCLW00138:  | MNCLW00265:  | MNCLW00266:  | MNCLW00383:  | MNCLW00384:  | MNCLW00437:  | MNCLW00559:  | MNCLW00670:  | MNCLW00690:  | MNCLW00775:  | MNCLW00807:  | MNCLW00809: 	MNCLW00138:  | MNCLW00265:  | MNCLW00266:  | MNCLW00383:  | MNCLW00384:  | MNCLW00437:  | MNCLW00559:  | MNCLW00670:  | MNCLW00690:  | MNCLW00775:  | MNCLW00807:  | MNCLW00809: 
930	2520023	регистрийн дугаар	монгол улсын иргэний төрсөн он, сар, өдөр, хүйсийн талаарх мэдээллийг тусгасан 2 үсэг, 8 орон бүхий тооноос бүрдсэн, үл давхардах нийлмэл кодыг	NM	дугаар	MNCLW00019, MNCLW00057, MNCLW00169, MNCLW00244, MNCLW00252, MNCLW00255, MNCLW00318, MNCLW00341, MNCLW00390, MNCLW00547, MNCLW00551, MNCLW00635, MNCLW00639, MNCLW00655, MNCLW00661, MNCLW00695, MNCLW00697, MNCLW00778, MNCLW00807, MNCLW00812	MNCLW00019:  | MNCLW00057:  | MNCLW00169:  | MNCLW00244:  | MNCLW00252:  | MNCLW00255:  | MNCLW00318:  | MNCLW00341:  | MNCLW00390:  | MNCLW00547:  | MNCLW00551:  | MNCLW00635:  | MNCLW00639:  | MNCLW00655:  | MNCLW00661:  | MNCLW00695:  | MNCLW00697:  | MNCLW00778:  | MNCLW00807:  | MNCLW00812: 	MNCLW00019:  | MNCLW00057:  | MNCLW00169:  | MNCLW00244:  | MNCLW00252:  | MNCLW00255:  | MNCLW00318:  | MNCLW00341:  | MNCLW00390:  | MNCLW00547:  | MNCLW00551:  | MNCLW00635:  | MNCLW00639:  | MNCLW00655:  | MNCLW00661:  | MNCLW00695:  | MNCLW00697:  | MNCLW00778:  | MNCLW00807:  | MNCLW00812: 
923	2490041	олон улсын нислэг	хоёр буюу түүнээс дээш улсын агаарын зайд үйлдэх нислэг	NM	нислэг	MNCLW00140, MNCLW00249, MNCLW00304, MNCLW00384, MNCLW00824	MNCLW00140:  | MNCLW00249:  | MNCLW00304:  | MNCLW00384:  | MNCLW00824: 	MNCLW00140:  | MNCLW00249:  | MNCLW00304:  | MNCLW00384:  | MNCLW00824: 
951	3980024	мэргэшлийн түвшин	ажилтны эзэмших мэдлэг, чадвар, гүйцэтгэх ажил, үүргийн төлөвшил, хариуцлага, хандлагын хүрээг стандартаар тодорхойлсон мэргэшлийн шатлалыг	NM	түвшин	MNCLW00138, MNCLW00385, MNCLW00398, MNCLW00443, MNCLW00589, MNCLW00595, MNCLW00655, MNCLW00679, MNCLW00687, MNCLW00775, MNCLW00787, MNCLW00807, MNCLW00809	MNCLW00138:  | MNCLW00385:  | MNCLW00398:  | MNCLW00443:  | MNCLW00589:  | MNCLW00595:  | MNCLW00655:  | MNCLW00679:  | MNCLW00687:  | MNCLW00775:  | MNCLW00787:  | MNCLW00807:  | MNCLW00809: 	MNCLW00138:  | MNCLW00385:  | MNCLW00398:  | MNCLW00443:  | MNCLW00589:  | MNCLW00595:  | MNCLW00655:  | MNCLW00679:  | MNCLW00687:  | MNCLW00775:  | MNCLW00787:  | MNCLW00807:  | MNCLW00809: 
952	6810020	ахуйн хог хаягдал	айл өрхөөс гарах энгийн хог хаягдлыг	NM	хаягдал	MNCLW00061, MNCLW00824	MNCLW00061:  | MNCLW00824: 	MNCLW00061:  | MNCLW00824: 
953	7100011	хувийн хамгаалалт	хувийн хамгаалалтын үйл ажиллагаа эрхлэх эрх бүхий этгээд гэрээний үндсэн дээр үйлчлүүлэгчийн амь бие, эрүүл мэндийг гэмт халдлагаас хамгаалахын тулд энэ хуулиар зөвшөөрсөн үйл ажиллагаа явуулахыг	NM	хамгаалалт	MNCLW00168, MNCLW00237, MNCLW00639, MNCLW00710, MNCLW00775	MNCLW00168:  | MNCLW00237:  | MNCLW00639:  | MNCLW00710:  | MNCLW00775: 	MNCLW00168:  | MNCLW00237:  | MNCLW00639:  | MNCLW00710:  | MNCLW00775: 
975	2090020	мэдээлэх хэрэгсэл	телевиз, радио, холбооны шугам сүлжээ, компьютерын сүлжээ, тусгай программ, хэвлэл болон бусад арга хэрэгслийг	NM	хэрэгсэл	MNCLW00156, MNCLW00209	MNCLW00156:  | MNCLW00209: 	MNCLW00156:  | MNCLW00209: 
976	2650024	мэдээллийн систем	нийтийн мэдээллийн ил тод байдлын тухай хуулийн 411-д заасныг	NM	систем	MNCLW00033, MNCLW00055, MNCLW00138, MNCLW00156, MNCLW00162, MNCLW00239, MNCLW00244, MNCLW00265, MNCLW00266, MNCLW00296, MNCLW00297, MNCLW00304, MNCLW00437, MNCLW00572, MNCLW00635, MNCLW00731, MNCLW00741, MNCLW00778, MNCLW00781, MNCLW00825, MNCLW00842	MNCLW00033:  | MNCLW00055:  | MNCLW00138:  | MNCLW00156:  | MNCLW00162:  | MNCLW00239:  | MNCLW00244:  | MNCLW00265:  | MNCLW00266:  | MNCLW00296:  | MNCLW00297:  | MNCLW00304:  | MNCLW00437:  | MNCLW00572:  | MNCLW00635:  | MNCLW00731:  | MNCLW00741:  | MNCLW00778:  | MNCLW00781:  | MNCLW00825:  | MNCLW00842: 	MNCLW00033:  | MNCLW00055:  | MNCLW00138:  | MNCLW00156:  | MNCLW00162:  | MNCLW00239:  | MNCLW00244:  | MNCLW00265:  | MNCLW00266:  | MNCLW00296:  | MNCLW00297:  | MNCLW00304:  | MNCLW00437:  | MNCLW00572:  | MNCLW00635:  | MNCLW00731:  | MNCLW00741:  | MNCLW00778:  | MNCLW00781:  | MNCLW00825:  | MNCLW00842: 
