	id	doc_id	term_id
779	4065	MNCLW00004	303
783	4068	MNCLW00004	6140037
793	4075	MNCLW00004	2440026
893	4122	MNCLW00004	928
1395	4346	MNCLW00004	1680026
912	4133	MNCLW00004	5470021
1181	4244	MNCLW00004	2590016
1193	4246	MNCLW00004	8090021
1221	4257	MNCLW00004	851
1226	4258	MNCLW00004	5720070
1232	4262	MNCLW00004	5720034
1249	4270	MNCLW00004	3500017
1267	4282	MNCLW00004	5110031
1310	4299	MNCLW00004	2310023
1311	4302	MNCLW00004	7310025
1316	4303	MNCLW00004	7060017
1325	4310	MNCLW00004	4810018
1349	4316	MNCLW00004	2310013
1353	4319	MNCLW00004	250024
1373	4327	MNCLW00004	956
736	4044	MNCLW00004	3760024
1173	4241	MNCLW00004	120
901	4128	MNCLW00004	1373
1170	4239	MNCLW00004	5840025
1163	4234	MNCLW00004	5720223
914	4133	MNCLW00004	1770027
917	4133	MNCLW00004	1560016
964	4159	MNCLW00004	117
996	4174	MNCLW00004	5720082
1004	4176	MNCLW00004	6970013
1012	4183	MNCLW00004	6930015
1022	4186	MNCLW00004	5170022
1026	4188	MNCLW00004	7060027
1028	4189	MNCLW00004	204
1029	4189	MNCLW00004	8270012
1053	4197	MNCLW00004	2770030
1058	4198	MNCLW00004	2340031
1074	4202	MNCLW00004	6700032
1078	4202	MNCLW00004	6700016
1079	4202	MNCLW00004	1172
1167	4238	MNCLW00004	3890013
735	4044	MNCLW00004	40042
1035	4192	MNCLW00004	5720233
727	4042	MNCLW00004	6700056
634	4021	MNCLW00004	20023
636	4022	MNCLW00004	40020
637	4023	MNCLW00004	760029
639	4023	MNCLW00004	40021
640	4024	MNCLW00004	6770048
641	4024	MNCLW00004	1480013
643	4024	MNCLW00004	1980021
644	4024	MNCLW00004	40022
645	4025	MNCLW00004	3300017
647	4025	MNCLW00004	7160014
649	4026	MNCLW00004	40024
651	4026	MNCLW00004	356
652	4026	MNCLW00004	710032
653	4027	MNCLW00004	5720066
654	4027	MNCLW00004	1060
633	4021	MNCLW00004	2650021
655	4027	MNCLW00004	2310022
632	4021	MNCLW00004	40019
629	4020	MNCLW00004	507
730	4042	MNCLW00004	760047
610	4009	MNCLW00004	205
611	4009	MNCLW00004	40015
612	4011	MNCLW00004	1980020
613	4012	MNCLW00004	4940013
614	4014	MNCLW00004	116
615	4014	MNCLW00004	40025
616	4014	MNCLW00004	6700018
617	4014	MNCLW00004	5830012
618	4017	MNCLW00004	1980016
620	4017	MNCLW00004	1980013
623	4018	MNCLW00004	2410021
625	4019	MNCLW00004	40017
626	4019	MNCLW00004	5950065
628	4020	MNCLW00004	350026
630	4020	MNCLW00004	437
656	4027	MNCLW00004	6600025
622	4018	MNCLW00004	794
659	4027	MNCLW00004	6600020
694	4035	MNCLW00004	760050
695	4035	MNCLW00004	2660020
697	4035	MNCLW00004	6140027
699	4036	MNCLW00004	40034
700	4036	MNCLW00004	2310018
703	4036	MNCLW00004	1980022
707	4037	MNCLW00004	40035
708	4038	MNCLW00004	40036
709	4038	MNCLW00004	40041
714	4039	MNCLW00004	40037
716	4040	MNCLW00004	40038
718	4040	MNCLW00004	1520015
721	4040	MNCLW00004	7040031
722	4041	MNCLW00004	40039
658	4027	MNCLW00004	1980017
691	4034	MNCLW00004	433
690	4034	MNCLW00004	1004
712	4038	MNCLW00004	4350013
687	4033	MNCLW00004	4350014
661	4027	MNCLW00004	1980023
688	4034	MNCLW00004	1470022
664	4028	MNCLW00004	1800014
667	4028	MNCLW00004	1560056
669	4028	MNCLW00004	40026
670	4029	MNCLW00004	40027
673	4030	MNCLW00004	40028
674	4030	MNCLW00004	7
723	4041	MNCLW00004	1960013
678	4032	MNCLW00004	50024
676	4031	MNCLW00004	40029
685	4033	MNCLW00004	6700020
683	4033	MNCLW00004	760048
682	4033	MNCLW00004	487
686	4033	MNCLW00004	3300025
681	4032	MNCLW00004	40030
1505	5095	MNCLW00005	1520015
1616	5181	MNCLW00005	6600026
1615	5179	MNCLW00005	2310022
1614	5179	MNCLW00005	240010
1612	5178	MNCLW00005	1980016
1611	5177	MNCLW00005	7950018
1608	5175	MNCLW00005	976
1605	5174	MNCLW00005	5720223
1604	5174	MNCLW00005	7060030
1589	5162	MNCLW00005	4310018
1587	5161	MNCLW00005	6600025
1586	5161	MNCLW00005	1980021
1582	5159	MNCLW00005	7060027
1581	5159	MNCLW00005	40025
1580	5157	MNCLW00005	5110031
1625	5185	MNCLW00005	350026
1566	5148	MNCLW00005	975
1555	5140	MNCLW00005	6520029
1548	5135	MNCLW00005	2340031
1533	5124	MNCLW00005	8270013
1526	5124	MNCLW00005	250024
1521	5117	MNCLW00005	303
1509	5099	MNCLW00005	1373
1504	5095	MNCLW00005	4350013
1527	5124	MNCLW00005	8360012
1704	5252	MNCLW00005	2310013
1638	5196	MNCLW00005	1560016
1775	5312	MNCLW00005	1980020
1502	5084	MNCLW00005	1950019
1758	5288	MNCLW00005	6060018
1747	5273	MNCLW00005	5170022
1732	5264	MNCLW00005	7670022
1730	5264	MNCLW00005	6700056
1725	5262	MNCLW00005	203
1713	5260	MNCLW00005	7
1710	5256	MNCLW00005	3980020
1708	5256	MNCLW00005	5110028
1701	5252	MNCLW00005	6700045
1629	5187	MNCLW00005	8260033
1700	5252	MNCLW00005	5490026
1698	5252	MNCLW00005	5490020
1697	5245	MNCLW00005	8120016
1689	5242	MNCLW00005	6350013
1680	5231	MNCLW00005	730021
1670	5222	MNCLW00005	757
1665	5220	MNCLW00005	470066
1659	5218	MNCLW00005	5490021
1657	5214	MNCLW00005	7920013
